Node,Processes,Num Threads,Schedule,ChunkSize,ReadGray(s),ReadColor(s),Gray(s),Hsl(s),Yuv(s),WriteGray(s),WriteHsl(s),WriteYuv(s),Total(s)
1,1,2,dynamic,256,0.032164,0.686716,0.55904,3.426221,1.846201,3.137995,9.835896,9.839863,29.371797
1,1,2,dynamic,256,0.031205,0.6654,0.544302,3.309478,1.787951,3.145953,9.788478,9.840004,29.120272
1,1,2,dynamic,512,0.029351,0.659582,0.56755,3.28483,1.674904,3.161088,9.790529,9.752681,28.928137
1,1,2,dynamic,512,0.019331,0.653677,0.55031,3.269866,1.678384,3.071141,9.759117,9.798434,28.807468
1,1,2,dynamic,512,0.03232,0.667595,0.554735,3.264141,1.692504,3.174863,9.729332,9.782322,28.905399
1,1,2,dynamic,512,0.029112,0.642376,0.57232,3.236939,1.759472,3.169931,9.745278,9.768115,28.931428
1,1,2,dynamic,512,0.029333,0.627156,0.549437,3.27518,1.695611,3.188594,9.759662,9.779887,28.912368
1,1,2,dynamic,1024,0.031953,0.644686,0.527782,3.179794,1.627895,3.185058,9.749934,9.84384,28.798553
1,1,2,dynamic,1024,0.029927,0.682886,0.559296,3.315843,1.691218,3.187977,9.768549,9.827199,29.070462
1,1,2,dynamic,1024,0.017558,0.621653,0.543608,3.205063,1.637081,3.206173,9.76727,9.801941,28.807916
1,1,2,dynamic,1024,0.031746,0.643699,0.557711,3.202646,1.62937,3.127176,9.756093,10.224061,29.180091
1,1,2,dynamic,1024,0.03121,0.621328,0.528364,3.216471,1.695907,3.139331,9.763783,9.744717,28.748748
1,1,2,dynamic,2048,0.032051,0.638657,0.538184,3.185486,1.575705,3.133063,9.729094,9.803426,28.643283
1,1,2,dynamic,2048,0.014808,0.66945,0.524974,3.268349,1.658292,3.133753,9.797387,9.773038,28.847808
1,1,2,dynamic,2048,0.015983,0.636183,0.519841,3.188027,1.58004,3.150362,9.692718,9.780813,28.571399
1,1,2,dynamic,2048,0.031188,0.684829,0.553155,3.294716,1.657805,3.176946,9.71507,9.733912,28.855188
1,1,2,dynamic,2048,0.029872,0.661575,0.557995,3.189604,1.596038,3.147691,9.702455,9.747061,28.639973
1,1,2,dynamic,4096,0.032281,0.661164,0.528833,3.130214,1.55781,3.165672,9.690049,10.902709,29.67629
1,1,2,dynamic,4096,0.029437,0.663029,0.55603,3.141498,1.580767,3.76675,10.894074,10.788896,31.428111
1,1,2,dynamic,4096,0.030576,0.58758,0.537626,3.145715,1.5301,3.46617,18.183853,10.572725,38.061863
1,1,2,dynamic,4096,0.029473,0.642092,0.549398,3.137317,1.52948,3.354325,9.788648,9.768037,28.806389
1,1,2,dynamic,4096,0.031125,0.672361,0.552386,3.245711,1.619969,3.143424,18.504855,17.18493,44.962405
1,1,4,static,16,0.015169,0.434997,0.472994,2.015339,1.1282,5.321868,18.30966,15.913308,43.619094
1,1,4,static,16,0.030267,0.373929,0.491357,2.011091,1.065167,6.22477,18.272179,15.063804,43.540177
1,1,4,static,16,0.032204,0.379484,0.493977,1.958799,1.119969,6.206002,17.254043,17.935762,45.387686
1,1,4,static,16,0.028677,0.389642,0.497771,2.032518,1.204189,5.780464,13.420282,17.734456,41.095547
1,1,4,static,16,0.030092,0.391094,0.491145,2.043138,1.063983,6.229708,13.349275,17.84221,41.448829
1,1,4,static,32,0.014645,0.390333,0.459506,1.964464,1.073461,6.227948,12.78763,17.758096,40.683536
1,1,4,static,32,0.01981,0.383349,0.454394,1.943296,1.05277,6.208366,13.19326,17.808902,41.071787
1,1,4,static,32,0.014783,0.386558,0.446378,1.953554,1.047593,6.106244,12.651253,17.812805,40.426786
1,1,4,static,32,0.015862,0.39219,0.429372,1.956621,1.072683,6.006397,11.307149,17.667411,38.855284
1,1,4,static,32,0.030356,0.382625,0.479538,1.954379,1.037817,5.998928,13.652009,16.248911,39.792106
1,1,4,static,64,0.03285,0.401122,0.472193,1.911941,1.074161,5.925173,15.989465,13.873607,39.688071
1,1,4,static,64,0.015181,0.3762,0.457563,1.956202,1.015344,5.944822,22.397339,17.234752,49.404979
1,1,4,static,64,0.018286,0.398422,0.462913,1.97913,1.129617,5.917215,17.727274,12.515318,40.155689
1,1,4,static,64,0.028925,0.317457,0.473178,1.954492,1.056661,5.930724,18.185113,10.015726,37.969827
1,1,4,static,64,0.02957,0.407178,0.479469,1.959305,1.041352,5.324422,17.984288,13.607821,40.840908
1,1,4,static,128,0.014671,0.381835,0.45383,1.915609,1.059159,4.352313,18.214902,17.622212,44.021989
1,1,4,static,128,0.031671,0.393359,0.486573,1.90371,1.089964,3.242579,17.411946,18.056728,42.624048
1,1,4,static,128,0.014502,0.317013,0.446663,1.887725,1.061847,3.305078,13.980588,18.187619,39.208595
1,1,4,static,128,0.029485,0.330909,0.47726,1.907677,1.067594,6.037,11.183524,17.507656,38.54879
1,1,4,static,128,0.028563,0.393567,0.492706,1.929272,1.067763,6.087658,11.855929,10.107098,31.970167
1,1,4,static,256,0.015357,0.383002,0.43709,1.883658,1.062233,3.184172,9.665193,16.865259,33.503446
1,1,4,static,256,0.028614,0.392741,0.465747,1.896051,1.011152,5.791039,14.074823,17.324206,40.992065
1,1,4,static,256,0.029506,0.340884,0.481315,1.891355,1.025785,5.791026,15.175904,16.360116,41.103294
1,1,4,static,256,0.017491,0.363827,0.458744,1.897159,1.030917,5.846825,16.120534,15.352663,41.095652
1,1,4,static,256,0.015361,0.384451,0.429032,1.866954,1.044012,5.956673,17.093519,14.544405,41.341846
1,1,4,static,512,0.01475,0.376457,0.445481,1.882197,1.043369,5.992956,17.916494,13.741378,41.42076
1,1,4,static,512,0.019452,0.377125,0.447779,1.883039,1.019972,9.224838,19.230803,14.939399,47.149706
1,1,4,static,512,0.014591,0.385257,0.448388,1.874231,1.021368,6.214803,18.189176,15.769519,43.92497
1,1,4,static,512,0.03192,0.348964,0.472184,1.886508,1.031236,6.254693,16.445668,17.624174,44.102953
1,1,4,static,512,0.028639,0.376428,0.473634,1.888321,0.999826,5.741321,15.911275,18.732531,44.160042
1,1,4,static,1024,0.032113,0.38135,0.478084,1.86575,1.02319,6.218568,24.003232,26.316244,60.326102
1,1,4,static,1024,0.031878,0.346197,0.479538,1.8569,1.038223,8.612766,26.102973,25.687721,64.163497
1,1,4,static,1024,0.031559,0.371008,0.471648,1.875936,1.005084,5.492747,25.325941,26.113798,60.695023
1,1,4,static,1024,0.031282,0.290675,0.480128,1.880953,1.013058,7.607522,25.473189,25.727597,62.511869
1,1,4,static,1024,0.031712,0.301102,0.449381,1.864979,1.002048,6.20928,18.143216,16.636059,44.645349
1,1,4,static,2048,0.031195,0.376456,0.440068,1.853929,1.030705,5.239647,18.056682,15.792952,42.828927
1,1,4,static,2048,0.031863,0.376282,0.46896,1.845625,1.032853,6.360042,18.124658,14.601933,42.849795
1,1,4,static,2048,0.017416,0.357673,0.460362,1.870754,1.036554,6.297606,18.343577,24.699786,53.091156
1,1,4,static,2048,0.029948,0.359769,0.469772,1.860224,1.011025,5.42847,15.759915,17.990412,42.917335
1,1,4,static,2048,0.028674,0.376523,0.475132,1.86438,1.017926,6.347827,15.406146,18.112824,43.636922
1,1,4,static,4096,0.029263,0.381133,0.464832,1.8223,1.011885,6.290275,14.306947,18.239889,42.554107
1,1,4,static,4096,0.028409,0.384765,0.473621,1.850687,1.008095,6.28876,16.653348,18.526981,45.222309
1,1,4,static,4096,0.029535,0.374313,0.471963,1.854375,1.003375,4.012885,17.655319,18.371013,43.780211
1,1,4,static,4096,0.031353,0.374677,0.457212,1.840688,0.994385,5.158515,18.302124,17.337028,44.503601
1,1,4,static,4096,0.03088,0.373361,0.478018,1.855055,0.999865,6.052133,18.4959,17.852811,46.146274
