Label,Num Threads,Schedule,ChunkSize,ReadGray(s),ReadColor(s),Gray(s),Hsl(s),Yuv(s),WriteGray(s),WriteHsl(s),WriteYuv(s),Total(s)
"OpenMP: Threads 4, Schedule static, ChunkSize 1024",4,static,1024,0.0317,0.3586,0.4773,1.8689,1.0138,6.6785,25.2263,25.9613,61.9241
"OpenMP: Threads 4, Schedule static, ChunkSize 2048",4,static,2048,0.0304,0.3764,0.4664,1.8595,1.0272,6.3352,18.175,17.2987,43.0582
"OpenMP: Threads 4, Schedule static, ChunkSize 4096",4,static,4096,0.0299,0.3759,0.4701,1.8502,1.0038,5.9474,17.7767,18.1546,44.502
"OpenMP: Threads 8, Schedule dynamic, ChunkSize 16",8,dynamic,16,0.03,0.7778,0.6071,3.0304,2.6235,3.1641,9.783,9.7855,29.8087
"OpenMP: Threads 8, Schedule dynamic, ChunkSize 32",8,dynamic,32,0.0302,0.5714,0.5189,2.3179,1.8558,3.1719,9.6564,9.6945,27.8696
"OpenMP: Threads 8, Schedule dynamic, ChunkSize 64",8,dynamic,64,0.0167,0.3704,0.4622,1.7801,1.2323,3.191,9.6172,9.6288,26.2958
"OpenMP: Threads 8, Schedule dynamic, ChunkSize 128",8,dynamic,128,0.0298,0.2947,0.4542,1.5901,1.0289,3.197,9.547,9.5487,25.7474
"OpenMP: Threads 8, Schedule dynamic, ChunkSize 256",8,dynamic,256,0.0207,0.2778,0.422,1.5142,0.9523,3.1912,9.633,9.6347,25.6647
"OpenMP: Threads 8, Schedule dynamic, ChunkSize 512",8,dynamic,512,0.0295,0.2588,0.4391,1.4935,0.9307,3.1871,9.5556,9.6022,25.4879
"OpenMP: Threads 8, Schedule dynamic, ChunkSize 1024",8,dynamic,1024,0.0295,0.2499,0.4341,1.4457,0.894,5.7107,17.5409,18.2801,44.6858
"OpenMP: Threads 8, Schedule dynamic, ChunkSize 2048",8,dynamic,2048,0.0315,0.2467,0.4335,1.4286,0.8683,5.2365,18.3999,17.6296,44.4611
"OpenMP: Threads 8, Schedule dynamic, ChunkSize 4096",8,dynamic,4096,0.0276,0.2311,0.4286,1.3938,0.8532,6.2076,18.1963,15.6583,41.9865
"OpenMP: Threads 8, Schedule guided, ChunkSize 16",8,guided,16,0.0313,0.1979,0.4127,1.3277,0.7923,6.2082,18.4561,18.5631,45.5134
"OpenMP: Threads 8, Schedule guided, ChunkSize 32",8,guided,32,0.0298,0.1997,0.4213,1.343,0.8008,6.2026,18.6025,18.6245,46.2082
"OpenMP: Threads 8, Schedule guided, ChunkSize 64",8,guided,64,0.0297,0.1995,0.4181,1.3192,0.8089,6.2277,18.1735,10.1509,38.0203
"OpenMP: Threads 8, Schedule guided, ChunkSize 128",8,guided,128,0.0299,0.194,0.4133,1.3235,0.8044,3.1893,9.5289,9.5425,25.0373
"OpenMP: Threads 8, Schedule guided, ChunkSize 256",8,guided,256,0.0152,0.1948,0.4045,1.3209,0.8163,3.1728,9.5487,9.5678,25.1815
"OpenMP: Threads 8, Schedule guided, ChunkSize 512",8,guided,512,0.0285,0.1977,0.424,1.2964,0.8051,3.195,9.5429,9.6791,25.6196
"OpenMP: Threads 8, Schedule guided, ChunkSize 1024",8,guided,1024,0.0146,0.1964,0.4022,1.3422,0.8004,5.0781,12.851,12.5104,36.2629
"OpenMP: Threads 8, Schedule guided, ChunkSize 2048",8,guided,2048,0.0159,0.1967,0.407,1.3463,0.8041,4.5596,14.1349,17.0144,39.3177
"OpenMP: Threads 8, Schedule guided, ChunkSize 4096",8,guided,4096,0.0307,0.1993,0.4144,1.3428,0.793,3.19,9.4973,9.5485,25.0154
"OpenMP: Threads 8, Schedule static, ChunkSize 16",8,static,16,0.0153,0.2842,0.422,1.5203,0.9728,6.1057,15.4106,17.9663,42.5142
"OpenMP: Threads 8, Schedule static, ChunkSize 32",8,static,32,0.0313,0.2703,0.4377,1.4364,0.9358,5.323,18.0701,17.8315,42.1772
"OpenMP: Threads 8, Schedule static, ChunkSize 64",8,static,64,0.031,0.2466,0.4481,1.3969,0.9127,6.1566,18.0617,17.3235,42.2634
"OpenMP: Threads 8, Schedule static, ChunkSize 128",8,static,128,0.0175,0.2346,0.4284,1.3848,0.8687,6.028,15.4494,18.1405,42.1786
"OpenMP: Threads 8, Schedule static, ChunkSize 256",8,static,256,0.015,0.2258,0.4112,1.3465,0.8549,6.2277,13.1676,18.0334,40.3442
"OpenMP: Threads 8, Schedule static, ChunkSize 512",8,static,512,0.0298,0.2277,0.419,1.346,0.8564,6.0859,15.8468,17.915,42.6485
"OpenMP: Threads 8, Schedule static, ChunkSize 1024",8,static,1024,0.0315,0.2382,0.4284,1.3249,0.8377,6.2005,17.9372,15.4465,42.5142
"OpenMP: Threads 8, Schedule static, ChunkSize 2048",8,static,2048,0.0302,0.2366,0.4305,1.3186,0.8329,6.2006,18.6177,18.583,45.8223
"OpenMP: Threads 8, Schedule static, ChunkSize 4096",8,static,4096,0.0267,0.2344,0.4347,1.3218,0.8147,6.2004,18.6387,18.4971,46.2866
"OpenMP: Threads 16, Schedule dynamic, ChunkSize 16",16,dynamic,16,0.0192,0.7536,0.5644,2.9683,2.4425,3.1916,9.8422,9.8391,29.6485
"OpenMP: Threads 16, Schedule dynamic, ChunkSize 32",16,dynamic,32,0.0306,0.5533,0.5133,2.3978,1.8319,3.1793,9.7233,9.7675,27.9838
"OpenMP: Threads 16, Schedule dynamic, ChunkSize 64",16,dynamic,64,0.0289,0.4146,0.4864,1.9783,1.3889,3.1586,9.6348,9.6971,26.8307
"OpenMP: Threads 16, Schedule dynamic, ChunkSize 128",16,dynamic,128,0.0157,0.3525,0.4551,1.7982,1.1641,3.184,9.6611,9.6676,26.305
"OpenMP: Threads 16, Schedule dynamic, ChunkSize 256",16,dynamic,256,0.0293,0.3273,0.4533,1.7551,1.11,3.1662,9.653,9.6745,26.1445
"OpenMP: Threads 16, Schedule dynamic, ChunkSize 512",16,dynamic,512,0.0301,0.316,0.441,1.7235,1.0715,3.1913,9.6181,9.7246,26.087
