Threads,Schedule,ChunkSize,Time (s),TotalTime
16,dynamic,1024,0.457656,25.970202
16,dynamic,2048,0.441611,25.836144
16,dynamic,2048,0.452250,26.142925
16,dynamic,2048,0.432174,26.017933
16,dynamic,2048,0.445731,25.915498
16,dynamic,2048,0.429776,25.925363
16,dynamic,4096,0.434528,26.120582
16,dynamic,4096,0.427540,25.924694
16,dynamic,4096,0.433905,25.980011
16,dynamic,4096,0.444026,26.053570
16,dynamic,4096,0.456719,26.014374
