Node,Processes,Num Threads,ReadGray(s),ReadColor(s),Gray(s),Hsl(s),Yuv(s),WriteGray(s),WriteHsl(s),WriteYuv(s),Total(s)
2,2,2,0.030115,0.603784,0.953255,3.562067,2.666771,3.190306,9.771345,9.744761,30.529477
2,2,2,0.031245,0.581299,0.936073,3.56805,2.682461,3.189529,9.776608,9.77176,30.543989
2,2,2,0.031505,0.592718,0.924874,3.498156,2.673493,3.194705,9.779517,9.789185,30.491337
2,2,2,0.031309,0.590407,0.930195,3.495867,2.669159,3.154218,9.751133,9.755566,30.384894
2,2,2,0.032563,0.593102,0.907848,3.495807,2.685557,3.199238,9.78248,9.816688,30.520298
2,2,4,0.028619,0.326254,0.891703,2.807834,2.388221,3.137897,9.642001,9.593874,28.82322
2,2,4,0.015844,0.353173,0.890584,2.80405,2.375663,3.151032,9.653555,9.572417,28.823317
2,2,4,0.032193,0.343362,0.875933,2.812354,2.399799,3.153218,9.649491,9.609171,28.882529
2,2,4,0.015613,0.297113,0.876491,2.806649,2.410572,3.171043,9.663619,9.618136,28.865781
2,2,4,0.028795,0.332578,0.889429,2.815353,2.389827,3.165465,9.717982,9.677928,29.02436
2,2,8,0.018385,0.244261,0.855004,2.592143,2.34626,3.17167,9.609285,9.567596,28.411431
2,2,8,0.017464,0.199306,0.872687,2.550915,2.330739,3.18468,9.619162,9.560454,28.342397
2,2,8,0.016129,0.199925,0.866278,2.548361,2.351181,3.172074,9.620121,9.60743,28.388379
2,2,8,0.014719,0.214209,0.861412,2.561886,2.317828,3.163109,9.586733,9.631523,28.358383
2,2,8,0.032187,0.205454,0.862756,2.562357,2.35831,3.148319,9.606467,9.562263,28.344769
2,4,16,0.017875,0.202608,0.767373,2.308547,2.177712,3.164614,9.43559,9.620807,27.702382
2,4,16,0.018768,0.174429,0.775448,2.297744,2.166798,3.165012,9.438868,9.606229,27.650995
2,4,16,0.030244,0.204496,0.761236,2.280879,2.146318,3.132874,9.433225,9.614795,27.610754
2,4,16,0.033347,0.197042,0.770747,2.269603,2.170679,3.190433,9.437543,9.576032,27.652667
2,4,16,0.016658,0.186832,0.784748,2.28723,2.154603,3.211115,9.49158,9.57711,27.716808
2,4,1,0.03269,1.13452,0.843893,3.411069,2.604639,3.22656,10.008137,10.013323,31.283803
2,4,1,0.016541,1.187493,0.838894,3.447382,2.600236,3.171126,9.992734,10.088788,31.350216
2,4,1,0.031219,1.145878,0.837176,3.45911,2.608741,3.190514,10.055076,10.062955,31.397833
2,4,1,0.02929,1.14287,0.836758,3.477354,2.597794,3.180698,10.094263,10.037883,31.404159
2,4,1,0.031471,1.096191,0.826098,3.429183,2.601593,3.20099,10.055043,10.012001,31.259943
2,4,2,0.030452,0.630147,0.818507,2.741165,2.300419,3.199947,9.790661,9.780994,29.298724
2,4,2,0.041044,0.642212,0.801427,2.737368,2.305859,3.185827,9.7637,9.799638,29.28389
2,4,2,0.030518,0.573339,0.797409,2.728008,2.297562,3.203822,9.718472,9.759451,29.115309
2,4,2,0.019533,0.61015,0.816842,2.735916,2.30134,3.189994,9.8303,9.827258,29.340303
2,4,2,0.018828,0.605829,0.819523,2.73301,2.305352,3.141442,9.797887,9.779025,29.207897
2,4,4,0.03362,0.327038,0.762943,2.42819,2.196837,3.156874,9.682561,9.614479,28.209653
2,4,4,0.030711,0.355687,0.793459,2.446267,2.185341,3.147435,9.682672,9.591788,28.240267
2,4,4,0.03116,0.345948,0.788279,2.427852,2.192803,3.156324,9.700354,9.683751,28.333656
2,4,4,0.033392,0.370623,0.777635,2.43191,2.205535,3.147731,9.640801,9.616824,28.2318
2,4,4,0.029645,0.369719,0.785401,2.424359,2.190308,3.137963,9.595766,9.54906,28.089087
2,4,8,0.018796,0.20892,0.772301,2.298564,2.191811,3.118397,9.592632,9.514007,27.722821
2,4,8,0.019585,0.242735,0.754346,2.304288,2.161712,3.178173,9.579139,9.474768,27.723642
2,4,8,0.018049,0.219676,0.789516,2.316323,2.150065,3.182368,9.490321,9.467282,27.640795
2,4,8,0.030476,0.240874,0.778577,2.317837,2.165249,3.192767,9.517002,9.424175,27.674196
2,4,8,0.019868,0.230963,0.767753,2.324543,2.194006,3.164152,9.521707,9.439439,27.669484
2,8,16,0.047096,0.179582,0.794449,2.305453,2.115069,3.202661,9.417076,9.552939,27.621962
2,8,16,0.038688,0.192089,0.86975,2.229401,2.120792,3.174376,9.403827,9.555315,27.588733
2,8,16,0.028982,0.217762,0.789495,2.311143,2.163898,3.192875,9.589744,9.423418,27.72449
2,8,16,0.035094,0.214854,0.809414,2.251593,2.092147,3.171871,9.523661,9.50092,27.606845
2,8,16,0.04022,0.19923,0.892587,2.295968,2.132291,3.129827,9.562693,9.476653,27.736608
2,8,1,0.035589,1.091722,0.754369,2.696889,2.272307,3.181634,9.897555,10.065934,30.002829
2,8,1,0.044971,1.139699,0.752739,2.701413,2.253031,3.19459,9.920941,10.018691,30.033279
2,8,1,0.046091,1.200518,0.754013,2.707931,2.272651,3.130738,9.962922,10.026569,30.108514
2,8,1,0.033207,1.13184,0.74127,2.708107,2.264694,3.172476,10.043049,10.058467,30.159914
2,8,1,0.04287,1.151083,0.77242,2.708989,2.26005,3.179647,10.058596,10.040604,30.219825
2,8,2,0.035302,0.640593,0.741181,2.416947,2.172403,3.154505,9.80645,9.789659,28.764112
2,8,2,0.029067,0.61787,0.750205,2.409374,2.156129,3.13688,9.773016,9.70848,28.588322
2,8,2,0.032035,0.600374,0.756618,2.402648,2.157407,3.137479,9.829212,9.713101,28.6358
2,8,2,0.036802,0.635784,0.736906,2.408367,2.161883,3.138411,9.812579,9.733888,28.671883
2,8,2,0.036096,0.640698,0.742687,2.389742,2.163222,3.168795,9.785156,9.701823,28.634749
2,8,4,0.038451,0.339475,0.745203,2.272792,2.098271,3.144477,9.64638,9.58776,27.880855
2,8,4,0.03214,0.329435,0.775802,2.271377,2.117533,3.135018,9.647593,9.541628,27.857753
2,8,4,0.045499,0.346423,0.79772,2.290681,2.111654,3.133411,9.645765,9.530068,27.908528
2,8,4,0.044383,0.328578,0.738966,2.279282,2.100191,3.182013,9.655704,9.539494,27.875156
2,8,4,0.049583,0.371957,0.728384,2.276133,2.125837,3.200362,9.62902,9.551656,27.940103
2,8,8,0.035398,0.216572,0.741169,2.255314,2.131927,3.219076,9.628215,9.457308,27.69092
2,8,8,0.037384,0.219417,0.757168,2.240466,2.099287,3.193557,9.501006,9.416926,27.472499
2,8,8,0.02632,0.219217,0.841705,2.219158,2.122961,3.157585,9.510449,9.530936,27.636383
2,8,8,0.027515,0.212852,0.75044,2.279433,2.093777,3.137801,9.467242,9.643056,27.619161
2,8,8,0.035503,0.221348,0.808249,2.211906,2.102835,3.14196,9.427354,9.644048,27.600438
